cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,cont_btag,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_cate,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,his_brand,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,match_mask,uid,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level,mid,cate_id,campaign_id,customer,brand,price,pid,target
1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,5510,384,5510,5510,5510,5510,5510,5510,5510,5510,5510,6512,6512,6512,6512,6512,6512,5510,5510,6512,856,6426,6426,6176,4505,4505,4505,4505,6409,6409,4505,4505,4505,856,856,856,6952,6952,6952,6952,6952,6952,6952,6858,6426,6426,6952,6952,6952,6295,56500,39211,56500,17204,56500,17204,17204,39211,17204,39211,17204,12571,12571,12571,12571,12571,12571,39211,39211,12571,321995,17349,67569,374335,60297,60297,60297,171279,104454,94909,171279,171279,171279,59737,59737,59737,275944,410832,410832,410832,410832,410832,410832,88078,67569,67569,410832,410832,410832,338287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000017,0,4,2,4,0,3,0,4,716752,6426,182412,114408,310886,0.998295616895959,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,3,1,1,1,1,1,1,1,1,1,1,6300,6300,6300,6300,6300,1535,1535,4267,6300,6261,6432,6261,6261,6261,6261,1535,5166,5166,859,6261,2528,11141,4267,5166,5166,5166,5166,5166,5166,4290,5166,5166,5166,5166,4262,4262,4262,4267,6300,6300,6300,6300,6300,6300,12158,12158,12158,5957,6432,6423,254132,43065,143597,324101,254132,138268,118561,168008,161481,49217,406489,84120,234846,334491,334491,118561,376251,376251,286676,334491,4024,265274,173066,348073,348073,136339,348073,368892,348073,137084,368892,199787,199787,94994,370203,370203,370203,168008,161481,280120,280120,408167,91757,408167,203314,355099,1327,18595,423781,239331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000027,0,4,2,4,0,3,0,0,624108,6261,113396,33842,16008,0.9985042567340477,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,8998,211122,211122,211122,211122,211122,211122,211122,211122,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,24011,211122,211122,211122,211122,211122,211122,211122,211122,211122,211122,211122,211122,211122,211122,270044,205025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000043,27,4,2,4,1,2,0,4,328301,6410,233148,206117,121422,0.98971260954681,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4520,4280,6300,4526,4526,4526,562,4281,4281,4281,4281,4281,4281,4281,4280,4526,4280,4281,4526,4281,4281,5312,4526,4526,4526,4520,4520,4526,4526,4526,6261,4281,4526,4526,4526,4526,4526,4279,4282,372821,372821,372821,38298,38298,38298,38298,38298,38298,38298,37562,87406,87406,79004,372821,372821,372821,398776,443925,443925,443925,443925,443925,443925,443925,280115,372821,280115,49293,49293,49293,375286,81744,372821,372821,372821,395821,395821,38298,38298,38298,381415,365932,37562,37562,37562,37562,37562,289655,334642,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000046,47,6,2,6,2,1,0,2,375015,4281,150417,154167,49293,0.9967383669355855,1,0
1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,11435,11435,11435,5798,11435,11435,6338,4307,4307,4307,9467,9447,9447,9447,9461,9461,9461,9461,6980,6980,6980,6980,4435,4435,4435,4435,4435,4435,9447,9447,9447,9447,9447,9447,9447,9447,9447,9467,4263,4541,4541,6421,9447,9447,9455,9455,9455,9455,9455,9455,198616,317143,317143,317143,317143,317143,22838,223302,223302,386471,343236,353787,318038,318038,360736,360736,360736,360736,360736,360736,360736,360736,88078,88078,88078,88078,88078,88078,305088,305088,305088,305088,219256,219256,219256,219256,101997,84523,388700,353787,191925,376599,287931,287931,374225,374225,374225,374225,374225,374225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000060,0,9,1,3,0,3,0,1,383061,9447,171576,155927,370226,1.000017258711712,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6172,6172,6172,6172,6172,6172,6172,6172,6261,6261,6261,4282,4282,4283,4283,4282,4282,4282,4283,4283,4283,4283,4283,4283,4283,4283,4284,4283,4283,4283,4283,4283,4283,4284,4284,4284,4284,4284,4284,4284,4284,7889,2199,6172,6172,6172,6172,6172,6172,6944,301464,301464,301464,301464,301464,301464,301464,301464,146115,146115,146115,396477,396477,186516,186516,180281,180281,180281,270945,9652,45674,251286,270945,9652,9652,270945,258234,251286,9652,9652,9652,45674,9652,145374,50968,50968,50968,50968,50968,50968,50968,145102,305096,301464,301464,301464,301464,301464,301464,52121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000074,0,3,2,3,0,3,0,3,658438,4282,72281,84763,0,0.9965013385619039,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6261,6261,4282,4282,4283,4283,4282,4282,4282,4283,4283,4283,4283,4283,4283,4283,4283,4284,4283,4283,4283,4283,4283,4283,4284,4284,4284,4284,4284,4284,4284,4284,7889,2199,6172,6172,6172,6172,6172,6172,6944,6261,4520,7889,7889,7889,7889,7889,7889,7889,146115,146115,396477,396477,186516,186516,180281,180281,180281,270945,9652,45674,251286,270945,9652,9652,270945,258234,251286,9652,9652,9652,45674,9652,145374,50968,50968,50968,50968,50968,50968,50968,145102,305096,301464,301464,301464,301464,301464,301464,52121,311257,18595,270744,270744,270744,270744,270744,270744,270744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000074,0,3,2,3,0,3,0,3,630659,4282,107191,125193,0,0.9828090837172525,1,0
1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4629,4629,4629,4629,4629,4629,4629,4629,6183,6183,6183,6183,6183,4505,4505,6183,4629,4629,4836,4836,4836,6554,6554,4629,4629,4629,6261,6261,6261,4643,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,1665,6183,4629,82602,161826,219691,161826,161826,53723,103651,103651,394855,88495,88495,88495,88495,458191,458191,347284,161826,161826,103651,286084,161826,181325,613,103651,103651,103651,338698,338698,338698,14174,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,347284,247789,213511,103651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000115,0,3,2,3,0,3,0,2,436606,6183,200887,159638,0,0.9966446622608988,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4385,6251,6428,6428,6428,6428,6428,6428,6428,6418,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,8224,6142,6142,6142,6142,6142,6142,6142,6142,6142,6142,6142,6142,6142,6142,6433,6407,6407,6407,6407,4385,4345,4385,110208,80080,90349,91211,91211,91211,91211,90349,15511,346410,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,218972,219376,219376,219376,219376,219376,231038,219376,219376,219376,219376,219376,231038,219376,219376,15511,337365,337365,337365,337365,61593,389190,25519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000117,0,10,1,4,2,3,0,0,845531,6418,264345,230083,378269,0.9964759855915253,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11480,4520,4520,4520,6251,6251,6251,6251,6251,6251,6251,4505,4505,530,2321,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,11435,4505,4505,4505,6408,6408,6418,6418,5868,10845,4374,6418,7857,7857,6109,5966,5966,5966,6418,6164,6164,6164,316204,80681,80681,80681,74572,74572,74572,74572,74572,95776,95776,399291,399291,240323,385048,414715,353787,353787,353787,353787,353787,353787,353787,353787,353787,353787,353787,353787,353787,120536,448075,92892,388911,388911,12284,49166,377154,335394,448734,49166,263287,263287,398423,330599,330599,330599,49166,79302,79302,79302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000151,17,3,2,3,1,3,0,3,823006,5539,222268,82429,0,0.9828189109563539,1,0
